时间,实际功率(MW),预测功率_带NWP_XGB(MW),预测功率_无NWP_XGB(MW)
2019-05-26 15:15:00,0.0,0.23893762,0.17120957
2019-05-26 15:30:00,0.0,0.22995329,0.17120957
2019-05-26 15:45:00,0.0,0.22443628,0.17120957
2019-05-26 16:00:00,0.0,0.22423649,0.17120957
2019-05-26 16:15:00,0.0,0.22423649,0.17120957
2019-05-26 16:30:00,0.0,0.22423649,0.17120957
2019-05-26 16:45:00,0.0,0.22423649,0.17120957
2019-05-26 17:00:00,0.0,0.22423649,0.17120957
2019-05-26 17:15:00,0.0,0.22423649,0.17120957
2019-05-26 17:30:00,0.0,0.22423649,0.17120957
2019-05-26 17:45:00,0.0,0.22423649,0.17120957
2019-05-26 18:00:00,0.0,0.22423649,0.17120957
2019-05-26 18:15:00,0.0,0.22423649,0.17120957
2019-05-26 18:30:00,0.0,0.22423649,0.17120957
2019-05-26 18:45:00,0.0,0.22423649,0.17120957
2019-05-26 19:00:00,0.0,0.22423649,0.17120957
2019-05-26 19:15:00,0.0,0.22423649,0.17120957
2019-05-26 19:30:00,0.0,0.22423649,0.17120957
2019-05-26 19:45:00,0.0,0.22423649,0.17120957
2019-05-26 20:00:00,0.0,0.22423649,0.17120957
2019-05-26 20:15:00,0.0,0.22423649,0.17120957
2019-05-26 20:30:00,0.0,0.22423649,0.17120957
2019-05-26 20:45:00,0.0,0.22423649,0.17120957
2019-05-26 21:00:00,0.0,0.237427,0.17120957
2019-05-26 21:15:00,0.159838,0.48617363,0.25095344
2019-05-26 21:30:00,0.479513,0.66246295,0.44620967
2019-05-26 21:45:00,0.603831,1.0214579,0.6509001
2019-05-26 22:00:00,0.69263,1.1824589,0.95530796
2019-05-26 22:15:00,1.065584,1.8250432,1.1798232
2019-05-26 22:30:00,1.545097,2.4384904,1.8139367
2019-05-26 22:45:00,2.255486,3.444055,2.4601738
2019-05-26 23:00:00,3.516427,4.011423,3.141283
2019-05-26 23:15:00,4.830647,4.5713053,3.5754294
2019-05-26 23:30:00,5.185842,5.293619,4.534213
2019-05-26 23:45:00,6.1981470000000005,6.224681,5.1436462
2019-05-27 00:00:00,8.755548,7.781127,7.1964974
2019-05-27 00:15:00,9.96321,8.602918,7.450698
2019-05-27 00:30:00,10.99327,9.258397,8.478634
2019-05-27 00:45:00,12.05886,11.040027,9.616949
2019-05-27 01:00:00,12.59165,11.56829,10.413769
2019-05-27 01:15:00,9.377139,12.537538,10.708748
2019-05-27 01:30:00,14.74058,12.988717,11.811656
2019-05-27 01:45:00,15.43321,14.298718,12.323197
2019-05-27 02:00:00,16.161360000000002,14.689064,12.684865
2019-05-27 02:15:00,16.694151,15.206986,13.040192
2019-05-27 02:30:00,16.108079999999998,15.612476,13.3383465
2019-05-27 02:45:00,17.546619,15.881217,13.878923
2019-05-27 03:00:00,17.741970000000002,15.968238,13.996106
2019-05-27 03:15:00,18.381321,16.064573,14.1675825
2019-05-27 03:30:00,18.487881,16.091665,14.307538
2019-05-27 03:45:00,18.487881,16.100168,14.704597
2019-05-27 04:00:00,18.59444,16.137512,14.222269
2019-05-27 04:15:00,16.21464,16.168892,14.399955
2019-05-27 04:30:00,18.66548,16.168892,14.017937
2019-05-27 04:45:00,18.80756,16.032028,13.72086
2019-05-27 05:00:00,17.52886,16.059055,13.9932575
2019-05-27 05:15:00,16.179119,15.7237835,14.078081
2019-05-27 05:30:00,14.22555,15.642609,14.174364
2019-05-27 05:45:00,17.031579999999998,14.794738,13.952885
2019-05-27 06:00:00,17.244699,13.8707485,12.936163
2019-05-27 06:15:00,15.64632,12.301633,12.9084215
2019-05-27 06:30:00,15.379929999999998,11.232506,11.803538
2019-05-27 06:45:00,13.3198,11.02118,11.0547085
2019-05-27 07:00:00,13.95915,10.764647,10.060037
2019-05-27 07:15:00,11.38399,10.774638,10.084593
2019-05-27 07:30:00,11.89902,10.414727,9.051443
2019-05-27 07:45:00,10.97552,9.223835,7.1375647
2019-05-27 08:00:00,9.838892,8.962761,7.395197
2019-05-27 08:15:00,8.027399,8.051533,5.932766
