datetime,实际功率(MW),预测功率_无NWP(MW),预测功率_原始NWP(MW),预测功率_降尺度NWP(MW)
2018-08-31 08:00:00,2.539642,6.9928474,7.634753,7.6224136
2018-08-31 08:15:00,3.019155,6.0884247,6.1338406,6.306676
2018-08-31 08:30:00,5.452238,4.6104035,5.647139,5.48174
2018-08-31 08:45:00,3.569706,3.7527745,4.4089165,4.5605946
2018-08-31 09:00:00,3.96042,3.426158,3.6196542,3.5133667
2018-08-31 09:15:00,2.166687,2.3440256,2.8159132,3.0889716
2018-08-31 09:30:00,2.397564,1.9206327,2.0875874,2.078568
2018-08-31 09:45:00,1.3142200000000002,0.9427295,1.292628,1.3044405
2018-08-31 10:00:00,0.69263,0.5569067,0.8566456,0.8446605
2018-08-31 10:15:00,0.177597,0.21449924,0.43062758,0.42329454
2018-08-31 10:30:00,0.0532789999999999,0.120827675,0.2700212,0.25227904
2018-08-31 10:45:00,0.0,0.07221556,0.2310977,0.19335866
2018-08-31 11:00:00,0.0,0.07221556,0.2310977,0.19335866
2018-08-31 11:15:00,0.0,0.07221556,0.2310977,0.19335866
2018-08-31 11:30:00,0.0,0.07221556,0.23120403,0.19327116
2018-08-31 11:45:00,0.0,0.07221556,0.23120403,0.19327116
2018-08-31 12:00:00,0.0,0.0716362,0.23120403,0.19327116
2018-08-31 12:15:00,0.0,0.07141328,0.23120403,0.19327116
2018-08-31 12:30:00,0.0,0.069832325,0.23120403,0.19327116
2018-08-31 12:45:00,0.0,0.069832325,0.23120403,0.19327116
2018-08-31 13:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 13:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 13:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 13:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 14:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 14:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 14:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 14:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 15:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 15:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 15:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 15:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 16:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 16:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 16:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 16:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 17:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 17:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 17:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 17:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 18:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 18:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 18:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 18:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 19:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 19:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 19:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 19:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 20:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 20:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 20:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 20:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 21:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 21:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 21:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-08-31 21:45:00,0.0,0.08998251,0.23120403,0.19327116
2018-08-31 22:00:00,0.159838,0.30276418,0.29533482,0.23079824
2018-08-31 22:15:00,0.497272,0.42395306,0.4502797,0.34918046
2018-08-31 22:30:00,0.941266,1.1294076,0.8177767,0.82152224
2018-08-31 22:45:00,1.598376,1.4832094,1.2607083,1.2183821
2018-08-31 23:00:00,2.450843,2.2281353,1.5498712,1.6022751
2018-08-31 23:15:00,3.392109,2.8744245,2.5287852,2.4781842
2018-08-31 23:30:00,4.5642510000000005,3.4960217,3.0847373,3.7166855
2018-08-31 23:45:00,5.7896730000000005,5.179626,4.395099,5.0446043
2018-11-24 00:00:00,1.562856,1.941026,1.6639755,1.6281562
2018-11-24 00:15:00,2.699479,2.1357005,2.9735918,2.8018246
2018-11-24 00:30:00,5.665355,2.9026647,3.9814434,4.1311464
2018-11-24 00:45:00,6.926296000000001,3.730141,5.442524,5.5506253
2018-11-24 01:00:00,8.133958,4.9654894,6.6268916,6.730979
2018-11-24 01:15:00,9.288341,5.7275367,7.0532746,7.2155943
2018-11-24 01:30:00,10.46048,6.2923007,7.786124,8.024613
2018-11-24 01:45:00,11.47279,7.0436664,8.133015,8.467335
2018-11-24 02:00:00,12.36077,7.7156677,9.16113,9.677971
2018-11-24 02:15:00,13.35532,7.9014215,9.386491,9.912192
2018-11-24 02:30:00,14.06571,8.082356,10.012309,10.220459
2018-11-24 02:45:00,14.47418,8.909908,11.3269415,11.194811
2018-11-24 03:00:00,14.54522,9.879563,11.536125,11.325053
2018-11-24 03:15:00,15.07801,10.225179,11.49702,11.751323
2018-11-24 03:30:00,15.34441,10.241277,11.952532,12.37675
2018-11-24 03:45:00,15.273370000000002,10.225179,12.466373,12.679161
2018-11-24 04:00:00,15.14905,10.194603,12.560912,12.583325
2018-11-24 04:15:00,15.07801,11.1543255,12.526899,12.577749
2018-11-24 04:30:00,14.88266,10.595513,12.111727,12.292586
2018-11-24 04:45:00,14.45642,11.028581,11.438096,11.807315
2018-11-24 05:00:00,14.012429999999998,10.276278,11.311791,11.708287
2018-11-24 05:15:00,13.4086,8.850567,10.897206,11.502133
2018-11-24 05:30:00,13.24876,9.960626,10.287435,10.327071
2018-11-24 05:45:00,12.02334,8.052844,9.365826,9.807003
2018-11-24 06:00:00,11.57935,8.509477,8.790625,9.254072
2018-11-24 06:15:00,9.803372,7.637362,8.686192,8.84294
2018-11-24 06:30:00,9.146262,7.944269,8.538721,8.4964
2018-11-24 06:45:00,8.293796,6.302955,7.597679,7.8515205
2018-11-24 07:00:00,7.317010000000001,4.940835,6.295678,6.396595
2018-11-24 07:15:00,6.1803870000000005,4.6275783,4.7714863,4.957958
2018-11-24 07:30:00,4.262336,3.636217,3.339967,3.0439944
2018-11-24 07:45:00,1.722694,1.9299158,2.2356887,2.362597
2018-11-24 08:00:00,1.189902,1.2104714,1.4804697,1.5033853
2018-11-24 08:15:00,0.7281489999999999,1.1288836,1.0613143,0.9360113
2018-11-24 08:30:00,0.319675,0.36585736,0.5085323,0.4515748
2018-11-24 08:45:00,0.0177599999999999,0.112481594,0.2593515,0.23913741
2018-11-24 09:00:00,0.0,0.09453273,0.23120403,0.19327116
2018-11-24 09:15:00,0.0,0.09747791,0.23120403,0.19327116
2018-11-24 09:30:00,0.0,0.087142706,0.23120403,0.19327116
2018-11-24 09:45:00,0.0,0.08743334,0.23120403,0.19327116
2018-11-24 10:00:00,0.0,0.07221556,0.23120403,0.19327116
2018-11-24 10:15:00,0.0,0.07221556,0.23120403,0.19327116
2018-11-24 10:30:00,0.0,0.07221556,0.23120403,0.19327116
2018-11-24 10:45:00,0.0,0.07221556,0.23120403,0.19327116
2018-11-24 11:00:00,0.0,0.07221556,0.23120403,0.19327116
2018-11-24 11:15:00,0.0,0.07221556,0.23120403,0.19327116
2018-11-24 11:30:00,0.0,0.07221556,0.23120403,0.19327116
2018-11-24 11:45:00,0.0,0.07221556,0.23120403,0.19327116
2018-11-24 12:00:00,0.0,0.0716362,0.23120403,0.19327116
2018-11-24 12:15:00,0.0,0.07141328,0.23120403,0.19327116
2018-11-24 12:30:00,0.0,0.069832325,0.23120403,0.19327116
2018-11-24 12:45:00,0.0,0.069832325,0.23120403,0.19327116
2018-11-24 13:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 13:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 13:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 13:45:00,0.0,0.06984067,0.23120403,0.19327116
