起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2019/02/23/00:00,2019/02/24/00:30,4.795128,5.607631
2019/02/23/00:00,2019/02/24/00:45,5.96727,5.816504
2019/02/23/00:00,2019/02/24/01:00,6.766458,7.948654
2019/02/23/00:00,2019/02/24/01:15,7.707724000000001,9.387309
2019/02/23/00:00,2019/02/24/01:30,8.808827,9.079925
2019/02/23/00:00,2019/02/24/01:45,9.980969,9.247963
2019/02/23/00:00,2019/02/24/02:00,10.92224,10.111703
2019/02/23/00:00,2019/02/24/02:15,11.65038,10.119869
2019/02/23/00:00,2019/02/24/02:30,12.52061,10.558223
2019/02/23/00:00,2019/02/24/02:45,13.15996,11.9353
2019/02/23/00:00,2019/02/24/03:00,13.15996,12.646386
2019/02/23/00:00,2019/02/24/03:15,13.15996,12.673101
2019/02/23/00:00,2019/02/24/03:30,13.15996,12.433578
2019/02/23/00:00,2019/02/24/03:45,13.15996,12.294006
2019/02/23/00:00,2019/02/24/04:00,12.87581,12.314082
2019/02/23/00:00,2019/02/24/04:15,12.87581,12.380535
2019/02/23/00:00,2019/02/24/04:30,12.87581,12.32146
2019/02/23/00:00,2019/02/24/04:45,12.37853,12.248304
2019/02/23/00:00,2019/02/24/05:00,11.43727,12.227013
2019/02/23/00:00,2019/02/24/05:15,10.51376,12.042663
2019/02/23/00:00,2019/02/24/05:30,10.28289,12.232012
2019/02/23/00:00,2019/02/24/05:45,7.636685000000001,12.085421
2019/02/23/00:00,2019/02/24/06:00,7.636685000000001,10.024788
2019/02/23/00:00,2019/02/24/06:15,7.636685000000001,9.359246
2019/02/23/00:00,2019/02/24/06:30,7.636685000000001,9.346035
2019/02/23/00:00,2019/02/24/06:45,7.636685000000001,9.476622
2019/02/23/00:00,2019/02/24/07:00,4.439933,7.5856504
2019/02/23/00:00,2019/02/24/07:15,4.031459,6.6796293
2019/02/23/00:00,2019/02/24/07:30,3.942661,6.3910065
2019/02/23/00:00,2019/02/24/07:45,3.551947,6.048233
2019/02/23/00:00,2019/02/24/08:00,2.806038,5.0738974
2019/02/23/00:00,2019/02/24/08:15,2.131168,4.8841395
2019/02/23/00:00,2019/02/24/08:30,1.918051,3.666453
2019/02/23/00:00,2019/02/24/08:45,1.509577,3.2110298
2019/02/23/00:00,2019/02/24/09:00,0.976785,1.8617421
2019/02/23/00:00,2019/02/24/09:15,0.745909,1.0456431
2019/02/23/00:00,2019/02/24/09:30,0.248636,0.38715053
2019/02/23/00:00,2019/02/24/09:45,0.0177599999999999,0.19496107
2019/02/23/00:00,2019/02/24/10:00,0.0,0.0985446
2019/02/23/00:00,2019/02/24/10:15,0.0,0.0985446
2019/02/23/00:00,2019/02/24/10:30,0.0,0.0985446
2019/02/23/00:00,2019/02/24/10:45,0.0,0.0985446
2019/02/23/00:00,2019/02/24/11:00,0.0,0.05713439
2019/02/23/00:00,2019/02/24/11:15,0.0,0.05713439
2019/02/23/00:00,2019/02/24/11:30,0.0,0.05713439
2019/02/23/00:00,2019/02/24/11:45,0.0,0.05713439
2019/02/23/00:00,2019/02/24/12:00,0.0,0.049878836
2019/02/23/00:00,2019/02/24/12:15,0.0,0.049878836
2019/02/23/00:00,2019/02/24/12:30,0.0,0.049878836
2019/02/23/00:00,2019/02/24/12:45,0.0,0.049878836
2019/02/23/00:00,2019/02/24/13:00,0.0,0.05841613
2019/02/23/00:00,2019/02/24/13:15,0.0,0.05841613
2019/02/23/00:00,2019/02/24/13:30,0.0,0.05841613
2019/02/23/00:00,2019/02/24/13:45,0.0,0.05841613
2019/02/23/00:00,2019/02/24/14:00,0.0,0.058433294
2019/02/23/00:00,2019/02/24/14:15,0.0,0.058433294
2019/02/23/00:00,2019/02/24/14:30,0.0,0.058433294
2019/02/23/00:00,2019/02/24/14:45,0.0,0.058433294
2019/02/23/00:00,2019/02/24/15:00,0.0,0.058433294
2019/02/23/00:00,2019/02/24/15:15,0.0,0.058433294
2019/02/23/00:00,2019/02/24/15:30,0.0,0.058433294
2019/02/23/00:00,2019/02/24/15:45,0.0,0.058433294
2019/02/23/00:00,2019/02/24/16:00,0.0,0.058433294
2019/02/23/00:00,2019/02/24/16:15,0.0,0.058433294
2019/02/23/00:00,2019/02/24/16:30,0.0,0.058433294
2019/02/23/00:00,2019/02/24/16:45,0.0,0.058433294
2019/02/23/00:00,2019/02/24/17:00,0.0,0.058433294
2019/02/23/00:00,2019/02/24/17:15,0.0,0.058433294
2019/02/23/00:00,2019/02/24/17:30,0.0,0.058433294
2019/02/23/00:00,2019/02/24/17:45,0.0,0.058433294
2019/02/23/00:00,2019/02/24/18:00,0.0,0.058433294
2019/02/23/00:00,2019/02/24/18:15,0.0,0.058433294
2019/02/23/00:00,2019/02/24/18:30,0.0,0.058433294
2019/02/23/00:00,2019/02/24/18:45,0.0,0.058433294
2019/02/23/00:00,2019/02/24/19:00,0.0,0.061886787
2019/02/23/00:00,2019/02/24/19:15,0.0,0.061886787
2019/02/23/00:00,2019/02/24/19:30,0.0,0.061886787
2019/02/23/00:00,2019/02/24/19:45,0.0,0.061886787
2019/02/23/00:00,2019/02/24/20:00,0.0,0.061886787
2019/02/23/00:00,2019/02/24/20:15,0.0,0.061886787
2019/02/23/00:00,2019/02/24/20:30,0.0,0.061886787
2019/02/23/00:00,2019/02/24/20:45,0.0,0.061886787
2019/02/23/00:00,2019/02/24/21:00,0.0,0.061886787
2019/02/23/00:00,2019/02/24/21:15,0.0,0.061886787
2019/02/23/00:00,2019/02/24/21:30,0.0,0.061886787
2019/02/23/00:00,2019/02/24/21:45,0.0,0.061886787
2019/02/23/00:00,2019/02/24/22:00,0.0,0.06659222
2019/02/23/00:00,2019/02/24/22:15,0.0,0.06659222
2019/02/23/00:00,2019/02/24/22:30,0.0,0.06659222
2019/02/23/00:00,2019/02/24/22:45,0.0,0.06659222
