起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2018/08/25/00:00,2018/08/26/19:15,0.0,0.07945919
2018/08/25/00:00,2018/08/26/19:30,0.0,0.07945919
2018/08/25/00:00,2018/08/26/19:45,0.0,0.07945919
2018/08/25/00:00,2018/08/26/20:00,0.0,0.07945919
2018/08/25/00:00,2018/08/26/20:15,0.0,0.07945919
2018/08/25/00:00,2018/08/26/20:30,0.0,0.07945919
2018/08/25/00:00,2018/08/26/20:45,0.0,0.07945919
2018/08/25/00:00,2018/08/26/21:00,0.0,0.07945919
2018/08/25/00:00,2018/08/26/21:15,0.0,0.07945919
2018/08/25/00:00,2018/08/26/21:30,0.0,0.07945919
2018/08/25/00:00,2018/08/26/21:45,0.0,0.09732866
2018/08/25/00:00,2018/08/26/22:00,0.230877,0.23264909
2018/08/25/00:00,2018/08/26/22:15,0.5150319999999999,0.46833563
2018/08/25/00:00,2018/08/26/22:30,0.976785,1.0345519
2018/08/25/00:00,2018/08/26/22:45,1.811493,1.2510281
2018/08/25/00:00,2018/08/26/23:00,3.072434,1.6138134
2018/08/25/00:00,2018/08/26/23:15,3.072434,1.9186347
2018/08/25/00:00,2018/08/26/23:30,5.008245,2.5448914
2018/08/25/00:00,2018/08/26/23:45,5.683115,2.7096214
2018/08/26/00:00,2018/08/27/00:00,6.056069,4.790862
2018/08/26/00:00,2018/08/27/00:15,8.70227,5.4081116
2018/08/26/00:00,2018/08/27/00:30,9.696815,6.0335646
2018/08/26/00:00,2018/08/27/00:45,9.696815,6.389841
2018/08/26/00:00,2018/08/27/01:00,10.35392,6.873722
2018/08/26/00:00,2018/08/27/01:15,10.79792,7.139079
2018/08/26/00:00,2018/08/27/01:30,10.90448,8.912141
2018/08/26/00:00,2018/08/27/01:45,13.47964,8.872939
2018/08/26/00:00,2018/08/27/02:00,13.47964,9.245322
2018/08/26/00:00,2018/08/27/02:15,11.36623,10.866187
2018/08/26/00:00,2018/08/27/02:30,14.13675,11.423881
2018/08/26/00:00,2018/08/27/02:45,13.1422,11.406487
2018/08/26/00:00,2018/08/27/03:00,13.1422,11.363257
2018/08/26/00:00,2018/08/27/03:15,14.13675,11.535332
2018/08/26/00:00,2018/08/27/03:30,14.13675,11.555451
2018/08/26/00:00,2018/08/27/03:45,13.87035,11.555451
2018/08/26/00:00,2018/08/27/04:00,14.75834,11.594563
2018/08/26/00:00,2018/08/27/04:15,16.445511,11.670454
2018/08/26/00:00,2018/08/27/04:30,16.445511,11.670454
2018/08/26/00:00,2018/08/27/04:45,16.782949,11.606193
2018/08/26/00:00,2018/08/27/05:00,16.782949,11.56389
2018/08/26/00:00,2018/08/27/05:15,16.445511,11.351062
2018/08/26/00:00,2018/08/27/05:30,15.89496,11.268438
2018/08/26/00:00,2018/08/27/05:45,12.87581,11.257373
2018/08/26/00:00,2018/08/27/06:00,12.87581,11.21361
2018/08/26/00:00,2018/08/27/06:15,13.56844,11.112031
2018/08/26/00:00,2018/08/27/06:30,13.56844,10.701841
2018/08/26/00:00,2018/08/27/06:45,12.55613,9.947058
2018/08/26/00:00,2018/08/27/07:00,12.55613,9.060268
2018/08/26/00:00,2018/08/27/07:15,11.57935,9.029855
2018/08/26/00:00,2018/08/27/07:30,10.95776,8.150557
2018/08/26/00:00,2018/08/27/07:45,9.767853,7.546767
2018/08/26/00:00,2018/08/27/08:00,8.862105999999999,6.758863
2018/08/26/00:00,2018/08/27/08:15,6.926296000000001,6.1136103
2018/08/26/00:00,2018/08/27/08:30,6.695419,5.2596483
2018/08/26/00:00,2018/08/27/08:45,5.097044,4.664956
2018/08/26/00:00,2018/08/27/09:00,3.2500310000000003,3.9293506
2018/08/26/00:00,2018/08/27/09:15,2.184447,2.9000459
2018/08/26/00:00,2018/08/27/09:30,2.042369,2.0819998
2018/08/26/00:00,2018/08/27/09:45,1.5273370000000002,1.4638526
2018/08/26/00:00,2018/08/27/10:00,1.172142,1.0251877
2018/08/26/00:00,2018/08/27/10:15,0.568312,0.545588
2018/08/26/00:00,2018/08/27/10:30,0.071039,0.24885082
2018/08/26/00:00,2018/08/27/10:45,0.0,0.13720727
2018/08/26/00:00,2018/08/27/11:00,0.0,0.06672883
2018/08/26/00:00,2018/08/27/11:15,0.0,0.06672883
2018/08/26/00:00,2018/08/27/11:30,0.0,0.06672883
2018/08/26/00:00,2018/08/27/11:45,0.0,0.06672883
2018/08/26/00:00,2018/08/27/12:00,0.0,0.051771402
2018/08/26/00:00,2018/08/27/12:15,0.0,0.051771402
2018/08/26/00:00,2018/08/27/12:30,0.0,0.051771402
2018/08/26/00:00,2018/08/27/12:45,0.0,0.051771402
2018/08/26/00:00,2018/08/27/13:00,0.0,0.043067932
2018/08/26/00:00,2018/08/27/13:15,0.0,0.043067932
2018/08/26/00:00,2018/08/27/13:30,0.0,0.043067932
2018/08/26/00:00,2018/08/27/13:45,0.0,0.043067932
2018/08/26/00:00,2018/08/27/14:00,0.0,0.039640665
2018/08/26/00:00,2018/08/27/14:15,0.0,0.039640665
2018/08/26/00:00,2018/08/27/14:30,0.0,0.039640665
2018/08/26/00:00,2018/08/27/14:45,0.0,0.039640665
2018/08/26/00:00,2018/08/27/15:00,0.0,0.039640665
2018/08/26/00:00,2018/08/27/15:15,0.0,0.039640665
2018/08/26/00:00,2018/08/27/15:30,0.0,0.039640665
2018/08/26/00:00,2018/08/27/15:45,0.0,0.039640665
